2026-03-19 16:01:21 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-19 16:01:21 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-03-19 16:01:21 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-03-19 16:01:21 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-19 16:01:21 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-19 16:01:22 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-19 16:01:22 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-19 16:01:23 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-19 16:01:23 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-03-19 16:01:23 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json "HTTP/1.1 200 OK"
2026-03-19 16:01:23 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-03-19 16:01:23 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-03-19 16:01:24 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-19 16:01:24 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-03-19 16:01:24 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-03-19 16:01:24 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 16:01:25 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/auth/identity "HTTP/1.1 200 OK"
2026-03-19 16:01:25 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 16:01:27 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4 "HTTP/1.1 200 OK"
2026-03-19 16:01:27 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test "HTTP/1.1 200 OK"
2026-03-19 16:01:27 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections "HTTP/1.1 200 OK"
2026-03-19 16:01:28 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections/42b41ed8-6334-4219-b3ed-3b6d58428776/query "HTTP/1.1 200 OK"
2026-03-19 16:01:28 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-19 16:01:28 | INFO | graph | [save_to_redis] thread_id=test-thread-3 org_id=test-org-3 redis_memory=<utils.redis_memory.RedisMemoryService object at 0x000001C328AFE660>
2026-03-19 16:01:28 | INFO | uvicorn.access | 127.0.0.1:64194 - "POST /api/chat/?org_id=test-org-3 HTTP/1.1" 200
2026-03-19 16:03:42 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-19 16:03:42 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 16:03:43 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/auth/identity "HTTP/1.1 200 OK"
2026-03-19 16:03:43 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 16:03:44 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4 "HTTP/1.1 200 OK"
2026-03-19 16:03:45 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test "HTTP/1.1 200 OK"
2026-03-19 16:03:45 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections "HTTP/1.1 200 OK"
2026-03-19 16:03:45 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections/42b41ed8-6334-4219-b3ed-3b6d58428776/query "HTTP/1.1 200 OK"
2026-03-19 16:03:46 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-19 16:03:46 | INFO | graph | [save_to_redis] thread_id=test-thread-3 org_id=test-org-3 redis_memory=<utils.redis_memory.RedisMemoryService object at 0x000001C32A167260>
2026-03-19 16:03:46 | INFO | uvicorn.access | 127.0.0.1:64976 - "POST /api/chat/?org_id=test-org-3 HTTP/1.1" 200
